mall_name,store_name,timestamp_hour,gender,age_range,visitors,avg_duration_seconds
Centre Saint Martial,H&M,2024-09-01 08:00:00,male,30-60,4,1670
Centre Saint Martial,H&M,2024-09-01 08:00:00,unknown,60+,4,1670
Centre Saint Martial,H&M,2024-09-01 08:00:00,female,0-15,4,1670
Centre Saint Martial,H&M,2024-09-01 08:00:00,unknown,0-15,4,1670
Centre Saint Martial,H&M,2024-09-01 09:00:00,female,60+,4,858
Centre Saint Martial,H&M,2024-09-01 09:00:00,unknown,0-15,4,858
Centre Saint Martial,H&M,2024-09-01 09:00:00,male,30-60,4,858
Centre Saint Martial,H&M,2024-09-01 09:00:00,female,30-60,4,858
Centre Saint Martial,H&M,2024-09-01 10:00:00,female,0-15,10,1475
Centre Saint Martial,H&M,2024-09-01 10:00:00,unknown,0-15,10,1475
Centre Saint Martial,H&M,2024-09-01 10:00:00,unknown,0-15,10,1475
Centre Saint Martial,H&M,2024-09-01 10:00:00,female,30-60,10,1475
Centre Saint Martial,H&M,2024-09-01 10:00:00,unknown,15-30,10,1475
Centre Saint Martial,H&M,2024-09-01 10:00:00,male,60+,10,1475
Centre Saint Martial,H&M,2024-09-01 10:00:00,unknown,60+,10,1475
Centre Saint Martial,H&M,2024-09-01 10:00:00,unknown,30-60,10,1475
Centre Saint Martial,H&M,2024-09-01 10:00:00,female,15-30,10,1475
Centre Saint Martial,H&M,2024-09-01 10:00:00,unknown,0-15,10,1475
Centre Saint Martial,H&M,2024-09-01 11:00:00,unknown,60+,4,1862
Centre Saint Martial,H&M,2024-09-01 11:00:00,male,0-15,4,1862
Centre Saint Martial,H&M,2024-09-01 11:00:00,unknown,60+,4,1862
Centre Saint Martial,H&M,2024-09-01 11:00:00,female,60+,4,1862
Centre Saint Martial,H&M,2024-09-01 12:00:00,female,15-30,8,1518
Centre Saint Martial,H&M,2024-09-01 12:00:00,male,15-30,8,1518
Centre Saint Martial,H&M,2024-09-01 12:00:00,unknown,60+,8,1518
Centre Saint Martial,H&M,2024-09-01 12:00:00,female,0-15,8,1518
Centre Saint Martial,H&M,2024-09-01 12:00:00,unknown,60+,8,1518
Centre Saint Martial,H&M,2024-09-01 12:00:00,male,15-30,8,1518
Centre Saint Martial,H&M,2024-09-01 12:00:00,female,15-30,8,1518
Centre Saint Martial,H&M,2024-09-01 12:00:00,female,30-60,8,1518
Centre Saint Martial,H&M,2024-09-01 13:00:00,female,15-30,7,1020
Centre Saint Martial,H&M,2024-09-01 13:00:00,female,30-60,7,1020
Centre Saint Martial,H&M,2024-09-01 13:00:00,female,30-60,7,1020
Centre Saint Martial,H&M,2024-09-01 13:00:00,male,30-60,7,1020
Centre Saint Martial,H&M,2024-09-01 13:00:00,male,15-30,7,1020
Centre Saint Martial,H&M,2024-09-01 13:00:00,unknown,0-15,7,1020
Centre Saint Martial,H&M,2024-09-01 13:00:00,unknown,0-15,7,1020
Centre Saint Martial,H&M,2024-09-01 14:00:00,male,30-60,4,742
Centre Saint Martial,H&M,2024-09-01 14:00:00,male,15-30,4,742
Centre Saint Martial,H&M,2024-09-01 14:00:00,male,0-15,4,742
Centre Saint Martial,H&M,2024-09-01 14:00:00,unknown,0-15,4,742
Centre Saint Martial,H&M,2024-09-01 15:00:00,female,0-15,10,1600
Centre Saint Martial,H&M,2024-09-01 15:00:00,unknown,0-15,10,1600
Centre Saint Martial,H&M,2024-09-01 15:00:00,unknown,0-15,10,1600
Centre Saint Martial,H&M,2024-09-01 15:00:00,male,30-60,10,1600
Centre Saint Martial,H&M,2024-09-01 15:00:00,unknown,30-60,10,1600
Centre Saint Martial,H&M,2024-09-01 15:00:00,female,0-15,10,1600
Centre Saint Martial,H&M,2024-09-01 15:00:00,unknown,30-60,10,1600
Centre Saint Martial,H&M,2024-09-01 15:00:00,female,30-60,10,1600
Centre Saint Martial,H&M,2024-09-01 15:00:00,unknown,15-30,10,1600
Centre Saint Martial,H&M,2024-09-01 15:00:00,female,0-15,10,1600
Centre Saint Martial,H&M,2024-09-01 16:00:00,female,30-60,6,994
Centre Saint Martial,H&M,2024-09-01 16:00:00,male,30-60,6,994
Centre Saint Martial,H&M,2024-09-01 16:00:00,female,0-15,6,994
Centre Saint Martial,H&M,2024-09-01 16:00:00,female,0-15,6,994
Centre Saint Martial,H&M,2024-09-01 16:00:00,female,30-60,6,994
Centre Saint Martial,H&M,2024-09-01 16:00:00,unknown,0-15,6,994
Centre Saint Martial,H&M,2024-09-01 17:00:00,male,15-30,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,unknown,30-60,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,male,0-15,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,female,60+,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,unknown,60+,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,unknown,30-60,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,female,30-60,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,female,0-15,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,male,30-60,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,female,0-15,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,unknown,60+,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,unknown,60+,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,female,60+,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,female,60+,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,unknown,0-15,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,female,15-30,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,female,0-15,18,1193
Centre Saint Martial,H&M,2024-09-01 17:00:00,unknown,15-30,18,1193
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,60+,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,30-60,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,unknown,0-15,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,unknown,60+,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,30-60,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,15-30,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,60+,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,unknown,30-60,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,15-30,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,unknown,30-60,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,unknown,0-15,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,female,60+,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,unknown,60+,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,unknown,0-15,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,15-30,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,15-30,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,female,30-60,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,unknown,60+,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,0-15,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,15-30,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,unknown,0-15,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,female,0-15,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,female,0-15,24,1150
Centre Saint Martial,H&M,2024-09-01 18:00:00,male,0-15,24,1150
Centre Saint Martial,H&M,2024-09-01 19:00:00,male,30-60,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,male,30-60,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,male,15-30,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,male,0-15,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,unknown,0-15,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,unknown,15-30,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,male,60+,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,female,60+,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,unknown,30-60,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,female,60+,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,male,15-30,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,unknown,15-30,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,female,15-30,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,unknown,60+,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,female,60+,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,female,30-60,17,1752
Centre Saint Martial,H&M,2024-09-01 19:00:00,unknown,30-60,17,1752
Centre Saint Martial,H&M,2024-09-01 20:00:00,female,15-30,5,1406
Centre Saint Martial,H&M,2024-09-01 20:00:00,male,15-30,5,1406
Centre Saint Martial,H&M,2024-09-01 20:00:00,female,30-60,5,1406
Centre Saint Martial,H&M,2024-09-01 20:00:00,unknown,60+,5,1406
Centre Saint Martial,H&M,2024-09-01 20:00:00,male,30-60,5,1406
Centre Saint Martial,H&M,2024-09-01 21:00:00,male,0-15,4,1581
Centre Saint Martial,H&M,2024-09-01 21:00:00,unknown,15-30,4,1581
Centre Saint Martial,H&M,2024-09-01 21:00:00,unknown,60+,4,1581
Centre Saint Martial,H&M,2024-09-01 21:00:00,female,30-60,4,1581
